Category,Customer_State,Customer_Country,TotalRegionalSales
Highest Sales,PR,Puerto Rico,12711252.31958499
Highest Sales,CA,EE. UU.,5327004.604744681
Highest Sales,NY,EE. UU.,2069265.430871524
Highest Sales,TX,EE. UU.,1679804.6470542725
Highest Sales,IL,EE. UU.,1403156.0751799091
Highest Sales,FL,EE. UU.,995747.4102401471
Highest Sales,OH,EE. UU.,750098.7678302861
Highest Sales,MI,EE. UU.,702344.6678566948
Highest Sales,PA,EE. UU.,691568.6668579491
Highest Sales,NJ,EE. UU.,588213.636033358
Lowest Sales,95758,EE. UU.,228.62000278
Lowest Sales,91732,EE. UU.,299.9599915
Lowest Sales,AL,EE. UU.,7789.10005762
Lowest Sales,IA,EE. UU.,12880.790144030001
Lowest Sales,MT,EE. UU.,16750.82012262
Lowest Sales,AR,EE. UU.,29286.360314170004
Lowest Sales,ID,EE. UU.,29352.730350780002
Lowest Sales,ND,EE. UU.,38879.400246772
Lowest Sales,WV,EE. UU.,41720.3803919
Lowest Sales,OK,EE. UU.,43671.01033285
